From Date,To Date,PM2.5,PM10,NO,NO2,NOx
31-10-2021 19:30,31-10-2021 19:45,94,307,274.9,126.7,291.6
31-10-2021 19:45,31-10-2021 20:00,125,350,304.3,121.8,312.9
31-10-2021 20:00,31-10-2021 20:15,125,350,326.8,117.1,328.9
31-10-2021 20:15,31-10-2021 20:30,125,350,445.1,111.2,421.7
31-10-2021 20:30,31-10-2021 20:45,125,350,491.7,116.6,462.7
31-10-2021 20:45,31-10-2021 21:00,152,395,496.7,107.2,462.1
31-10-2021 21:00,31-10-2021 21:15,152,395,479.9,114.8,452.6
31-10-2021 21:15,31-10-2021 21:30,152,395,423.2,107.1,401.8
31-10-2021 21:30,31-10-2021 21:45,152,395,436.7,105.3,411.6
31-10-2021 21:45,31-10-2021 22:00,174,431,445.1,96.2,414
31-10-2021 22:00,31-10-2021 22:15,174,431,367.8,102.2,355.2
31-10-2021 22:15,31-10-2021 22:30,174,431,311.2,105.5,309.8
31-10-2021 22:30,31-10-2021 22:45,174,431,307.2,87.9,297.7
31-10-2021 22:45,31-10-2021 23:00,162,415,283.3,98.5,283.9
31-10-2021 23:00,31-10-2021 23:15,162,415,210,90.7,219.3
31-10-2021 23:15,31-10-2021 23:30,162,415,170.4,93.3,188.7
31-10-2021 23:30,31-10-2021 23:45,162,415,268.9,91.5,268.4
31-10-2021 23:45,01-11-2021 00:00,133,333,291.8,96.4,289.7
01-11-2021 00:00,01-11-2021 00:15,133,333,207.2,98.3,221.2
01-11-2021 00:15,01-11-2021 00:30,133,333,233.9,89.9,238.8
01-11-2021 00:30,01-11-2021 00:45,133,333,197.1,95,211.5
01-11-2021 00:45,01-11-2021 01:00,117,282,166.1,93.2,185.1
01-11-2021 01:00,01-11-2021 01:15,117,282,140.3,81.2,158.9
01-11-2021 01:15,01-11-2021 01:30,117,282,171.6,74.6,178.5
01-11-2021 01:30,01-11-2021 01:45,117,282,276.5,81.7,269
01-11-2021 01:45,01-11-2021 02:00,135,335,235.3,71.5,230.1
01-11-2021 02:00,01-11-2021 02:15,135,335,None,None,None
01-11-2021 02:15,01-11-2021 02:30,135,335,None,None,None
01-11-2021 02:30,01-11-2021 02:45,135,335,None,None,None
01-11-2021 02:45,01-11-2021 03:00,132,384,213.4,67.7,210.2
01-11-2021 03:00,01-11-2021 03:15,132,384,160.6,70.5,169.5
