locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T13:15:00+00:00,2021-02-08T18:45:00+05:30,pm25,118,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T13:15:00+00:00,2021-02-08T18:45:00+05:30,no2,100.1,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:45:00+00:00,2021-02-08T18:15:00+05:30,pm10,233,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:45:00+00:00,2021-02-08T18:15:00+05:30,pm25,99,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:45:00+00:00,2021-02-08T18:15:00+05:30,so2,27.4,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:45:00+00:00,2021-02-08T18:15:00+05:30,no2,103.4,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:45:00+00:00,2021-02-08T18:15:00+05:30,o3,4.9,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:45:00+00:00,2021-02-08T18:15:00+05:30,co,1900,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:15:00+00:00,2021-02-08T17:45:00+05:30,no2,90.3,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:15:00+00:00,2021-02-08T17:45:00+05:30,co,1500,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:15:00+00:00,2021-02-08T17:45:00+05:30,o3,16.6,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:15:00+00:00,2021-02-08T17:45:00+05:30,pm25,99,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:15:00+00:00,2021-02-08T17:45:00+05:30,so2,30.9,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:15:00+00:00,2021-02-08T17:45:00+05:30,pm10,233,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:00:00+00:00,2021-02-08T17:30:00+05:30,so2,31.7,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:00:00+00:00,2021-02-08T17:30:00+05:30,pm10,177,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:00:00+00:00,2021-02-08T17:30:00+05:30,no2,87.8,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:00:00+00:00,2021-02-08T17:30:00+05:30,pm25,88,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:00:00+00:00,2021-02-08T17:30:00+05:30,o3,24.1,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T12:00:00+00:00,2021-02-08T17:30:00+05:30,co,1500,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:30:00+00:00,2021-02-08T17:00:00+05:30,pm10,177,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:30:00+00:00,2021-02-08T17:00:00+05:30,so2,34.1,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:30:00+00:00,2021-02-08T17:00:00+05:30,co,1200,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:30:00+00:00,2021-02-08T17:00:00+05:30,no2,58.8,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:30:00+00:00,2021-02-08T17:00:00+05:30,o3,55,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:30:00+00:00,2021-02-08T17:00:00+05:30,pm25,88,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:00:00+00:00,2021-02-08T16:30:00+05:30,so2,33.3,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:00:00+00:00,2021-02-08T16:30:00+05:30,pm10,193,µg/m³,28.530785,77.271255
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-02-08T11:00:00+00:00,2021-02-08T16:30:00+05:30,o3,62,µg/m³,28.530785,77.271255
