From Date,To Date,PM2.5,PM10,NO,NO2,NOx
04-11-2021 06:15,04-11-2021 06:30,256,418,234.7,63.8,226.1
04-11-2021 06:30,04-11-2021 06:45,256,418,255.7,68.3,244.1
04-11-2021 06:45,04-11-2021 07:00,255,387,267.1,72.5,256.2
04-11-2021 07:00,04-11-2021 07:15,255,387,251.8,73.9,244.5
04-11-2021 07:15,04-11-2021 07:30,255,387,250.8,62.2,237.6
04-11-2021 07:30,04-11-2021 07:45,255,387,198.4,70.8,200.3
04-11-2021 07:45,04-11-2021 08:00,274,445,189.1,72.9,192.6
04-11-2021 08:00,04-11-2021 08:15,274,445,138.3,82,156.8
04-11-2021 08:15,04-11-2021 08:30,274,445,84.2,83.9,112.8
04-11-2021 08:30,04-11-2021 08:45,274,445,68.7,80.9,99
04-11-2021 08:45,04-11-2021 09:00,304,445,59.7,84.2,93.2
04-11-2021 09:00,04-11-2021 09:15,304,445,39.1,85.4,77.3
04-11-2021 09:15,04-11-2021 09:30,304,445,37.8,87.9,77.7
04-11-2021 09:30,04-11-2021 09:45,304,445,21.7,77.5,58.9
04-11-2021 09:45,04-11-2021 10:00,349,506,12.9,66.1,45.7
04-11-2021 10:00,04-11-2021 10:15,349,506,9.6,64,42
04-11-2021 10:15,04-11-2021 10:30,349,506,5.4,63.3,38
04-11-2021 10:30,04-11-2021 10:45,349,506,4.9,63.9,38
04-11-2021 10:45,04-11-2021 11:00,351,516,4.9,67.1,39.6
04-11-2021 11:00,04-11-2021 11:15,351,516,4.8,66.3,39.1
04-11-2021 11:15,04-11-2021 11:30,351,516,4.3,66.1,38.6
04-11-2021 11:30,04-11-2021 11:45,351,516,4.2,71,41.2
04-11-2021 11:45,04-11-2021 12:00,359,547,3.6,70.1,40.2
04-11-2021 12:00,04-11-2021 12:15,359,547,2.4,67.9,38.1
04-11-2021 12:15,04-11-2021 12:30,359,547,1.9,66.3,36.8
04-11-2021 12:30,04-11-2021 12:45,359,547,2.1,65.3,36.5
04-11-2021 12:45,04-11-2021 13:00,343,530,2.1,65,36.3
04-11-2021 13:00,04-11-2021 13:15,343,530,2,63.4,35.3
04-11-2021 13:15,04-11-2021 13:30,343,530,2,64,None
04-11-2021 13:30,04-11-2021 13:45,343,530,1.6,60.8,33.7
04-11-2021 13:45,04-11-2021 14:00,310,497,1.5,71.9,39.7
04-11-2021 14:00,04-11-2021 14:15,310,497,1.9,66.9,37.2
04-11-2021 14:15,04-11-2021 14:30,310,497,1.5,60.1,33.2
04-11-2021 14:30,04-11-2021 14:45,310,497,1.6,66.8,36.9
04-11-2021 14:45,04-11-2021 15:00,279,454,1.8,76.1,42
04-11-2021 15:00,04-11-2021 15:15,279,454,2.1,79.6,44.1
04-11-2021 15:15,04-11-2021 15:30,279,454,2.2,85.6,47.3
04-11-2021 15:30,04-11-2021 15:45,279,454,2.5,89.6,49.8
04-11-2021 15:45,04-11-2021 16:00,284,465,2.5,93.4,51.8
04-11-2021 16:00,04-11-2021 16:15,284,465,3.1,97.1,54.2
04-11-2021 16:15,04-11-2021 16:30,284,465,2.9,106.5,59.1
04-11-2021 16:30,04-11-2021 16:45,284,465,4.5,126.3,70.8
04-11-2021 16:45,04-11-2021 17:00,298,480,5.1,132.5,74.6
04-11-2021 17:00,04-11-2021 17:15,298,480,5.9,138.1,78
04-11-2021 17:15,04-11-2021 17:30,298,480,16.3,153.9,95.1
04-11-2021 17:30,04-11-2021 17:45,298,480,15.6,146.5,90.7
04-11-2021 17:45,04-11-2021 18:00,304,484,11.8,139.6,83.8
04-11-2021 18:00,04-11-2021 18:15,304,484,9.1,126.2,74.6
04-11-2021 18:15,04-11-2021 18:30,304,484,10.4,126.3,75.7
04-11-2021 18:30,04-11-2021 18:45,304,484,9.6,121.7,72.5
04-11-2021 18:45,04-11-2021 19:00,326,489,17,123.8,79.7
04-11-2021 19:00,04-11-2021 19:15,326,489,16.4,118.5,76.4
04-11-2021 19:15,04-11-2021 19:30,326,489,22,117.7,80.6
04-11-2021 19:30,04-11-2021 19:45,326,489,52.3,121.4,107.1
04-11-2021 19:45,04-11-2021 20:00,445,646,52.9,127.2,110.8
04-11-2021 20:00,04-11-2021 20:15,445,646,64.9,128.9,121
04-11-2021 20:15,04-11-2021 20:30,445,646,87.5,125.4,138
04-11-2021 20:30,04-11-2021 20:45,445,646,109.7,122.6,154.6
04-11-2021 20:45,04-11-2021 21:00,599,None,110.9,122.6,155.6
04-11-2021 21:00,04-11-2021 21:15,599,None,109,118.3,151.8
04-11-2021 21:15,04-11-2021 21:30,599,None,106.4,117.2,149.1
04-11-2021 21:30,04-11-2021 21:45,599,None,102.1,115.3,144.5
04-11-2021 21:45,04-11-2021 22:00,None,None,125.4,99.6,155.3
04-11-2021 22:00,04-11-2021 22:15,None,None,145.1,109.9,177.2
04-11-2021 22:15,04-11-2021 22:30,None,None,137.5,113.9,172.7
04-11-2021 22:30,04-11-2021 22:45,None,None,132.4,101.2,161.7
04-11-2021 22:45,04-11-2021 23:00,None,None,164.5,103.3,189.3
04-11-2021 23:00,04-11-2021 23:15,None,None,155.6,94,177
04-11-2021 23:15,04-11-2021 23:30,None,None,161.3,96.7,183.4
04-11-2021 23:30,04-11-2021 23:45,None,None,183.6,95.5,201.1
04-11-2021 23:45,05-11-2021 00:00,None,None,203.8,82.7,210.3
05-11-2021 00:00,05-11-2021 00:15,None,None,167.7,91.9,185.4
05-11-2021 00:15,05-11-2021 00:30,None,None,148,90.5,168.8
05-11-2021 00:30,05-11-2021 00:45,None,None,130.5,85.7,152.1
05-11-2021 00:45,05-11-2021 01:00,None,None,99.8,93.8,131.8
05-11-2021 01:00,05-11-2021 01:15,None,None,89.5,90.5,121.1
05-11-2021 01:15,05-11-2021 01:30,None,None,89.6,83.5,117.4
05-11-2021 01:30,05-11-2021 01:45,None,None,97.6,80.8,122.1
05-11-2021 01:45,05-11-2021 02:00,None,None,112.7,71.1,129.5
05-11-2021 02:00,05-11-2021 02:15,None,None,89.1,75.7,113
05-11-2021 02:15,05-11-2021 02:30,None,None,90.2,71.9,111.8
05-11-2021 02:30,05-11-2021 02:45,None,None,90.3,70,110.9
05-11-2021 02:45,05-11-2021 03:00,None,None,91.7,74.6,114.5
05-11-2021 03:00,05-11-2021 03:15,None,None,96.5,74.1,118
05-11-2021 03:15,05-11-2021 03:30,None,None,98.3,71,117.9
05-11-2021 03:30,05-11-2021 03:45,None,None,108.7,66.9,124.2
05-11-2021 03:45,05-11-2021 04:00,None,None,112.8,67.9,128
05-11-2021 04:00,05-11-2021 04:15,None,None,94.6,78.3,118.6
05-11-2021 04:15,05-11-2021 04:30,None,None,87,75.1,110.9
05-11-2021 04:30,05-11-2021 04:45,None,None,73.5,73.8,99.2
05-11-2021 04:45,05-11-2021 05:00,None,None,70.7,68.8,94.1
05-11-2021 05:00,05-11-2021 05:15,None,None,75.6,65.7,96.7
05-11-2021 05:15,05-11-2021 05:30,None,None,94.8,62.6,110.2
05-11-2021 05:30,05-11-2021 05:45,None,None,101.1,54.6,111.5
05-11-2021 05:45,05-11-2021 06:00,None,None,100.5,65.4,116.7
05-11-2021 06:00,05-11-2021 06:15,None,None,89.1,64.9,107.2
05-11-2021 06:15,05-11-2021 06:30,None,None,87.1,56.3,100.7
05-11-2021 06:30,05-11-2021 06:45,None,None,70.6,54.7,86.7
05-11-2021 06:45,05-11-2021 07:00,718,None,82.5,55.1,96.8
05-11-2021 07:00,05-11-2021 07:15,718,None,59,56.6,78.2
05-11-2021 07:15,05-11-2021 07:30,718,None,66.4,57.6,85.4
05-11-2021 07:30,05-11-2021 07:45,718,None,68.5,60.3,88
05-11-2021 07:45,05-11-2021 08:00,526,666,71.2,65.5,92.8
05-11-2021 08:00,05-11-2021 08:15,526,666,56,71,83.1
05-11-2021 08:15,05-11-2021 08:30,526,666,30.1,74.2,63.8
05-11-2021 08:30,05-11-2021 08:45,526,666,21.8,76.8,58.7
05-11-2021 08:45,05-11-2021 09:00,460,636,22.7,81.7,62
05-11-2021 09:00,05-11-2021 09:15,460,636,14.3,81,54.8
05-11-2021 09:15,05-11-2021 09:30,460,636,12.3,79.6,52.4
05-11-2021 09:30,05-11-2021 09:45,460,636,12.3,87.9,56.8
05-11-2021 09:45,05-11-2021 10:00,405,564,9.5,83.2,52
05-11-2021 10:00,05-11-2021 10:15,405,564,9.7,82.4,51.6
05-11-2021 10:15,05-11-2021 10:30,405,564,10.2,82,51.9
05-11-2021 10:30,05-11-2021 10:45,405,564,9.6,79.6,50.2
05-11-2021 10:45,05-11-2021 11:00,367,519,7.9,72.8,45
05-11-2021 11:00,05-11-2021 11:15,367,519,6.9,73.3,44.6
05-11-2021 11:15,05-11-2021 11:30,367,519,6,74.4,44.5
05-11-2021 11:30,05-11-2021 11:45,367,519,5.9,72.6,43.4
05-11-2021 11:45,05-11-2021 12:00,351,493,4.9,62.5,37.3
05-11-2021 12:00,05-11-2021 12:15,351,493,4.7,72.5,42.4
05-11-2021 12:15,05-11-2021 12:30,351,493,5.1,74.4,43.8
05-11-2021 12:30,05-11-2021 12:45,351,493,5,74.5,43.7
05-11-2021 12:45,05-11-2021 13:00,307,447,3.8,62.5,36.5
05-11-2021 13:00,05-11-2021 13:15,307,447,2.9,65.4,37.2
05-11-2021 13:15,05-11-2021 13:30,307,447,3.4,79.2,44.9
05-11-2021 13:30,05-11-2021 13:45,307,447,3.8,76.6,43.9
05-11-2021 13:45,05-11-2021 14:00,298,434,4,81.5,46.6
05-11-2021 14:00,05-11-2021 14:15,298,434,3.6,78.4,44.5
05-11-2021 14:15,05-11-2021 14:30,298,434,3.3,79,44.7
05-11-2021 14:30,05-11-2021 14:45,298,434,3.5,83.3,47.2
05-11-2021 14:45,05-11-2021 15:00,274,395,3.8,78.1,44.6
05-11-2021 15:00,05-11-2021 15:15,274,395,3.9,76.2,43.7
05-11-2021 15:15,05-11-2021 15:30,274,395,3.3,75,42.6
05-11-2021 15:30,05-11-2021 15:45,274,395,3.3,73.7,41.9
05-11-2021 15:45,05-11-2021 16:00,266,387,3.5,76.4,43.5
05-11-2021 16:00,05-11-2021 16:15,266,387,3.9,81.9,46.8
05-11-2021 16:15,05-11-2021 16:30,266,387,3.8,90.1,51.1
05-11-2021 16:30,05-11-2021 16:45,266,387,4.8,102.6,58.5
05-11-2021 16:45,05-11-2021 17:00,250,368,5.5,102.9,59.2
05-11-2021 17:00,05-11-2021 17:15,250,368,8.6,119.4,70.6
05-11-2021 17:15,05-11-2021 17:30,250,368,17,116.7,75.9
05-11-2021 17:30,05-11-2021 17:45,250,368,37.9,120.1,94.7
05-11-2021 17:45,05-11-2021 18:00,260,394,53.4,121.9,108.5
05-11-2021 18:00,05-11-2021 18:15,260,394,88.3,105.9,128.8
05-11-2021 18:15,05-11-2021 18:30,260,394,177.9,107.6,202.4
05-11-2021 18:30,05-11-2021 18:45,260,394,136.4,105.4,167.3
05-11-2021 18:45,05-11-2021 19:00,296,482,136.5,113.3,171.6
05-11-2021 19:00,05-11-2021 19:15,296,482,123.7,102.3,155.1
05-11-2021 19:15,05-11-2021 19:30,296,482,114,109.4,151.1
05-11-2021 19:30,05-11-2021 19:45,296,482,113.6,107.9,150
05-11-2021 19:45,05-11-2021 20:00,339,495,203,97,215.3
05-11-2021 20:00,05-11-2021 20:15,339,495,260.9,85.9,258.6
05-11-2021 20:15,05-11-2021 20:30,339,495,219.2,106.3,235.2
05-11-2021 20:30,05-11-2021 20:45,339,495,217.8,103.1,232.4
05-11-2021 20:45,05-11-2021 21:00,451,648,187.5,98.8,205.6
05-11-2021 21:00,05-11-2021 21:15,451,648,202.8,95.8,216.4
05-11-2021 21:15,05-11-2021 21:30,451,648,269.3,91.8,268.1
05-11-2021 21:30,05-11-2021 21:45,451,648,258.5,96.4,262.4
05-11-2021 21:45,05-11-2021 22:00,530,725,233.5,94,241
05-11-2021 22:00,05-11-2021 22:15,530,725,234.2,99,243.4
05-11-2021 22:15,05-11-2021 22:30,530,725,215.3,93.6,225.4
05-11-2021 22:30,05-11-2021 22:45,530,725,167.5,94.1,186.5
05-11-2021 22:45,05-11-2021 23:00,566,None,141.8,94,165.7
05-11-2021 23:00,05-11-2021 23:15,566,None,111,93.4,139.9
