From Date,To Date,pm2_5,pm10,NO,NO2,NOx
05-10-2021 00:15,05-10-2021 00:30,27,69,15.2,21.8,37
05-10-2021 00:30,05-10-2021 00:45,27,69,14.9,20.7,35.7
05-10-2021 00:45,05-10-2021 01:00,27,69,10.2,20.8,31
05-10-2021 01:00,05-10-2021 01:15,17,48,11.8,17,28.7
05-10-2021 01:15,05-10-2021 01:30,17,48,10.2,15.9,26
05-10-2021 01:30,05-10-2021 01:45,17,48,9.6,16,25.6
05-10-2021 01:45,05-10-2021 02:00,17,48,12.7,14.1,26.8
05-10-2021 02:00,05-10-2021 02:15,17,46,None,None,None
05-10-2021 02:15,05-10-2021 02:30,17,46,None,None,None
05-10-2021 02:30,05-10-2021 02:45,17,46,None,None,None
05-10-2021 02:45,05-10-2021 03:00,17,46,17,18.4,35.3
05-10-2021 03:00,05-10-2021 03:15,22,53,17,21.7,38.7
05-10-2021 03:15,05-10-2021 03:30,22,53,18.9,19,37.9
05-10-2021 03:30,05-10-2021 03:45,22,53,17.5,16.7,34.2
05-10-2021 03:45,05-10-2021 04:00,22,53,19.3,15,34.3
05-10-2021 04:00,05-10-2021 04:15,6,59,18.9,18.8,37.7
05-10-2021 04:15,05-10-2021 04:30,6,59,22,16.3,38.3
05-10-2021 04:30,05-10-2021 04:45,6,59,21.2,16.2,37.4
05-10-2021 04:45,05-10-2021 05:00,6,59,23.2,16.1,39.3
05-10-2021 05:00,05-10-2021 05:15,22,51,21,15.1,36.1
05-10-2021 05:15,05-10-2021 05:30,22,51,13.3,20.2,33.5
05-10-2021 05:30,05-10-2021 05:45,22,51,29.1,15,44.1
05-10-2021 05:45,05-10-2021 06:00,22,51,24.9,14.4,39.3
05-10-2021 06:00,05-10-2021 06:15,24,56,17.9,17.4,35.2
05-10-2021 06:15,05-10-2021 06:30,24,56,11,18.6,29.5
05-10-2021 06:30,05-10-2021 06:45,24,56,17.5,13.9,31.4
05-10-2021 06:45,05-10-2021 07:00,24,56,27.1,13.5,40.6
